,User_ID,Product_ID,Gender,Age,City_Category,Marital_Status,Product_Category
0,1000004,P00128942,M,46-50,B,1,1
1,1000009,P00113442,M,26-35,C,0,3
2,1000010,P00288442,F,36-45,B,1,5
3,1000010,P00145342,F,36-45,B,1,4
4,1000011,P00053842,F,26-35,C,0,4
5,1000013,P00350442,M,46-50,C,1,2
6,1000013,P00155442,M,46-50,C,1,1
7,1000013,P0094542,M,46-50,C,1,2
8,1000015,P00161842,M,26-35,A,0,10
9,1000022,P00067942,M,18-25,A,0,5
10,1000026,P00046742,M,26-35,B,1,1
11,1000026,P00040042,M,26-35,B,1,5
12,1000026,P00196542,M,26-35,B,1,5
13,1000026,P00004542,M,26-35,B,1,5
14,1000028,P00159542,F,26-35,C,1,10
15,1000029,P00111542,M,36-45,C,0,2
16,1000033,P00121042,M,46-50,A,1,15
17,1000033,P00344442,M,46-50,A,1,5
18,1000034,P00265242,F,18-25,A,0,5
19,1000035,P0096642,M,46-50,C,1,2
20,1000036,P00303042,M,26-35,B,0,5
21,1000036,P00059642,M,26-35,B,0,1
22,1000042,P00030842,M,26-35,C,1,1
23,1000045,P00346442,F,46-50,A,1,1
24,1000045,P00357242,F,46-50,A,1,5
25,1000045,P00284742,F,46-50,A,1,5
26,1000048,P00110842,M,26-35,B,1,1
27,1000048,P00251642,M,26-35,B,1,1
28,1000053,P00136742,M,26-35,B,0,1
29,1000053,P0097342,M,26-35,B,0,1
30,1000053,P00168242,M,26-35,B,0,5
31,1000053,P00354342,M,26-35,B,0,5
32,1000053,P00105042,M,26-35,B,0,5
33,1000059,P00177442,F,51-55,B,1,1
34,1000062,P00119242,F,36-45,A,0,18
35,1000063,P00260242,M,18-25,C,0,5
36,1000063,P00113642,M,18-25,C,0,8
37,1000065,P00000142,M,36-45,C,1,3
38,1000068,P00216342,M,18-25,A,0,3
39,1000069,P00157542,F,26-35,A,0,8
40,1000073,P00112642,M,18-25,A,0,1
41,1000078,P0095842,F,46-50,C,1,3
42,1000080,P00112142,M,55+,C,1,1
43,1000081,P00109142,F,26-35,A,1,8
44,1000081,P00120342,F,26-35,A,1,5
45,1000082,P00014542,M,26-35,C,1,8
46,1000090,P00117542,M,55+,C,0,18
47,1000092,P00220442,F,18-25,B,0,5
48,1000092,P00171542,F,18-25,B,0,2
49,1000094,P00178242,M,26-35,C,0,8
50,1000096,P00293342,F,26-35,C,1,8
51,1000097,P00117842,F,36-45,C,0,5
52,1000098,P00327542,F,36-45,C,1,5
53,1000100,P00110842,M,36-45,C,0,1
54,1000100,P00193542,M,36-45,C,0,1
55,1000100,P00243942,M,36-45,C,0,1
56,1000103,P00148542,M,46-50,B,1,1
57,1000107,P00089042,M,46-50,C,0,13
58,1000116,P00267542,M,26-35,C,1,1
